,id,Genre,Track,Artist,valence,energy,danceability,key,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,popularity,audio,energy_standard,valence_standard
0,3AJwUDP919kvQ9QcozQPxg,happy,Yellow,Coldplay,0.285,0.6609999999999999,0.429,11,-7.227,0.0281,0.0023899999999999,0.000121,0.2339999999999999,173.372,266773,90,https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.0043685377776526485,-0.7745573574940169
2,5O2P9iiztwhomNh8xkR9lJ,pop,Night Changes,One Direction,0.37,0.52,0.672,8,-7.747000000000001,0.0353,0.8590000000000001,0.0,0.115,120.001,226600,89,https://p.scdn.co/mp3-preview/359be833b46b250c696bbb64caa5dc91f2a38c6a?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.5656289542527959,-0.4585858803908822
1,0nJW01T7XtvILxQgC5J7Wh,chill,When I Was Your Man,Bruno Mars,0.387,0.28,0.612,0,-8.648,0.0434,0.932,0.0,0.088,72.795,213826,89,https://p.scdn.co/mp3-preview/159fc05584217baa99581c4821f52d04670db6b2?cid=b39a670615f14cfca30a8178b3bc3ed6,-1.5209658333594234,-0.3953915849702552
3,1mea3bSkSGXuIRvnydlB5b,happy,Viva La Vida,Coldplay,0.417,0.617,0.486,5,-7.115,0.0287,0.0954,3.23e-06,0.109,138.015,242373,88,https://p.scdn.co/mp3-preview/fb9f4a9b0887326776b4fb7c6d331acd167a7778?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.17951363228053407,-0.28387224011032547
4,7795WJLVKJoAyVoOtCWqXN,pop,I'm Not The Only One,Sam Smith,0.493,0.485,0.677,5,-5.795,0.0361,0.529,2.04e-05,0.0766,82.001,239316,87,0,-0.7049489157891792,-0.0013565664651697606
5,2WfaOiMkCvy7F5fcp2zZ8L,synth-pop,Take on Me,a-ha,0.8759999999999999,0.902,0.573,6,-7.638,0.054,0.018,0.00125,0.0928,84.412,225280,87,https://p.scdn.co/mp3-preview/ed66a8c444c35b2f5029c04ae8e18f69d952c2bb?cid=b39a670615f14cfca30a8178b3bc3ed6,0.9549489116585862,1.4223737362466011
6,2tpWsVSb9UEmDRxAl1zhX1,pop,Counting Stars,OneRepublic,0.477,0.705,0.664,1,-4.972,0.0382,0.0654,0.0,0.118,122.016,257266,86,0,0.1707765567252292,-0.06083355039046574
7,49FYlytm3dAAraYgpoJZux,children,Umbrella,Rihanna,0.575,0.8290000000000001,0.583,1,-4.603,0.134,0.00864,0.0,0.0426,174.028,275986,86,0,0.6643672775969872,0.3034629761519717
11,3sNVsP50132BTNlImLx70i,road-trip,Bound 2,Kanye West,0.31,0.665,0.367,1,-2.821,0.0465,0.145,0.0,0.113,148.91299999999998,229146,85,0,0.011553743540791599,-0.681624570110742
13,0d28khcov6AiegSCpG5TuT,trip-hop,Feel Good Inc.,Gorillaz,0.772,0.705,0.818,6,-6.678999999999999,0.177,0.00836,0.00233,0.613,138.559,222640,85,https://p.scdn.co/mp3-preview/b13a1bb2d8a04132982a49b6efee933cc9d67c7e?cid=b39a670615f14cfca30a8178b3bc3ed6,0.1707765567252292,1.035773340732178
12,34gCuhDGsG4bRPIf9bb02f,acoustic,Thinking out Loud,Ed Sheeran,0.591,0.445,0.7809999999999999,2,-6.061,0.0295,0.474,0.0,0.184,78.998,281560,85,https://p.scdn.co/mp3-preview/7b5d54ffb3c4e5c28adafe19532de22508d62851?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.864171728973617,0.3629399600772677
8,6nek1Nin9q48AVZcWs9e9D,chill,Paradise,Coldplay,0.212,0.585,0.449,5,-6.761,0.0268,0.0509,8.75e-05,0.0833,139.631,278719,85,https://p.scdn.co/mp3-preview/1039fd50eaca0a268a2378a6c9244bf85c8b961f?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.3068918828280845,-1.0459210966531796
10,40riOy7x9W7GXjyGp4pjAv,songwriter,Hotel California - 2013 Remaster,Eagles,0.609,0.508,0.579,2,-9.484,0.027,0.0057399999999999,0.000494,0.0575,147.125,391376,85,https://p.scdn.co/mp3-preview/6fedc11d0f55bef176cc1c5725ac1c57f9a2534a?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.6133957982081273,0.4298515669932257
9,2374M0fQpWi3dLnB54qaLX,happy,Africa,TOTO,0.732,0.373,0.6709999999999999,9,-18.064,0.0323,0.257,8.01e-05,0.0481,92.718,295893,85,https://p.scdn.co/mp3-preview/86d951a680c33cca769822e0ef854c1b20301b32?cid=b39a670615f14cfca30a8178b3bc3ed6,-1.1507727927056053,0.8870808809189381
18,3B54sVLJ402zGa6Xm4YGNe,hip-hop,Unforgettable,French Montana,0.733,0.769,0.726,6,-5.043,0.123,0.0293,0.0101,0.104,97.985,233901,84,https://p.scdn.co/mp3-preview/f8d5e3c37feb980e60cac2df4256250d4b5cf5b5?cid=b39a670615f14cfca30a8178b3bc3ed6,0.42553305782033013,0.8907981924142692
21,7BqBn9nzAq8spo5e7cZ0dJ,pop,Just the Way You Are,Bruno Mars,0.424,0.841,0.635,5,-5.379,0.0422,0.0134,0.0,0.0622,109.021,220734,84,https://p.scdn.co/mp3-preview/6d1a901b10c7dc609d4c8628006b04bc6e672be8?cid=b39a670615f14cfca30a8178b3bc3ed6,0.7121341215523181,-0.2578510596430085
