id,Genre,track_name,Artist,valence,energy,danceability,key,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,popularity,audio,energy_standard,valence_standard
3B54sVLJ402zGa6Xm4YGNe,hip-hop,Unforgettable,French Montana,0.733,0.769,0.726,6,-5.043,0.123,0.0293,0.0101,0.104,97.985,233901,84,https://p.scdn.co/mp3-preview/f8d5e3c37feb980e60cac2df4256250d4b5cf5b5?cid=b39a670615f14cfca30a8178b3bc3ed6,0.42580414783775794,0.8902485968872104
7w87IxuO7BDcJ3YUqCyMTT,indie-pop,Pumped Up Kicks,Foster The People,0.965,0.71,0.733,5,-5.849,0.0292,0.145,0.115,0.0956,127.975,239600,84,https://p.scdn.co/mp3-preview/2213bf4173a9b50a807a30121ed6b559a7778209?cid=b39a670615f14cfca30a8178b3bc3ed6,0.19094958939195614,1.7525280042036813
4bHsxqR3GMrXTxEPLuK5ue,hard-rock,Don't Stop Believin',Journey,0.514,0.748,0.5,4,-9.072,0.0363,0.127,0.0,0.447,118.852,250986,84,https://p.scdn.co/mp3-preview/f7b88f49127f9d414e8f4c0cbbe190648cf3cf9b?cid=b39a670615f14cfca30a8178b3bc3ed6,0.34221184737399796,0.07628657015312788
5rb9QrpfcKFHM1EUbSIurX,garage,Yeah! (feat. Lil Jon & Ludacris),Usher,0.583,0.791,0.894,2,-4.699,0.112,0.0183,0.0,0.0388,105.018,250373,84,https://p.scdn.co/mp3-preview/1eca1cb525c2b0df2ecba52f1105f139323e09a2?cid=b39a670615f14cfca30a8178b3bc3ed6,0.5133770340378875,0.3327403593981126
1TfqLAPs4K3s2rJMoCokcS,synth-pop,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,0.875,0.711,0.692,0,-7.498,0.0317,0.225,0.0,0.12,125.135,216933,84,https://p.scdn.co/mp3-preview/d69101dbd66295473706112d3edf978b70fc4550?cid=b39a670615f14cfca30a8178b3bc3ed6,0.19493017512832564,1.4180230617102227
0BCPKOYdS2jbQ8iyB56Zns,british,Clocks,Coldplay,0.255,0.749,0.577,5,-7.215,0.0279,0.599,0.0115,0.183,130.97,307879,83,https://p.scdn.co/mp3-preview/f7af250125a083c8212e4b7dd508a12c12aeac37?cid=b39a670615f14cfca30a8178b3bc3ed6,0.3461924331103675,-0.8863443199113807
5gflgO9EPbIBf16n5TKnQS,reggaeton,Yo Voy (feat. Daddy Yankee),Zion & Lennox,0.554,0.697,0.808,10,-5.899,0.241,0.041,0.0,0.0546,95.06,232019,83,https://p.scdn.co/mp3-preview/0d6bcbc99daa02a570665e3201ebd0c7c9b7efeb?cid=b39a670615f14cfca30a8178b3bc3ed6,0.13920197481915234,0.22495543348355404
2V65y3PX4DkRhy1djlxd9p,dubstep,Don't You Worry Child - Radio Edit,Swedish House Mafia,0.438,0.84,0.612,11,-3.145,0.0509,0.112,0.0,0.116,129.042,212862,83,,0.7084257351199936,-0.20618427017468163
0ntQJM78wzOLVeCUAW7Y45,rock-n-roll,Sex on Fire,Kings of Leon,0.374,0.905,0.542,9,-5.653,0.054,0.00172,0.0104,0.136,153.398,203346,83,https://p.scdn.co/mp3-preview/6806855988e246016413cc8a34a2afe862f3988d?cid=b39a670615f14cfca30a8178b3bc3ed6,0.9671638079840126,-0.4440544515033633
3cHyrEgdyYRjgJKSOiOtcS,latino,Timber (feat. Ke$ha),Pitbull,0.788,0.963,0.581,11,-4.087,0.0981,0.0295,0.0,0.139,129.992,204160,83,https://p.scdn.co/mp3-preview/54825c719d56bd5b737ac7c1aa3ce41ad3eef338?cid=b39a670615f14cfca30a8178b3bc3ed6,1.1980377806934446,1.0946682839665463
48QmG1dfvMuYLxMPt7KSRA,pop,No Lie,Sean Paul,0.463,0.882,0.742,7,-2.862,0.117,0.0466,0.0,0.206,102.04,221176,83,,0.8756103360475136,-0.11326623059316528
2Foc5Q5nqNiosCNqttzHof,club,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,0.862,0.811,0.794,6,-8.966,0.038,0.0426,1.07e-06,0.101,116.047,248413,83,https://p.scdn.co/mp3-preview/9b7eaf7fb5cab29251df52e9a4f46fad14e29aa1?cid=b39a670615f14cfca30a8178b3bc3ed6,0.592988748765278,1.3697056811278343
0I3q5fE6wg7LIfHGngUTnV,chill,Ms. Jackson,Outkast,0.613,0.806,0.843,4,-5.946,0.269,0.143,0.0,0.0771,94.948,270506,83,https://p.scdn.co/mp3-preview/06f8cc47c72dae9e9a66081b4dc912e9d9b430a9?cid=b39a670615f14cfca30a8178b3bc3ed6,0.5730858200834303,0.44424200689593224
2lnzGkdtDj5mtlcOW2yRtG,afrobeat,"Whenever, Wherever",Shakira,0.871,0.832,0.794,1,-4.862,0.0407,0.237,1.14e-05,0.203,107.657,196160,83,https://p.scdn.co/mp3-preview/93dc52d836150fba41afeb6df2e9167875c7d8fb?cid=b39a670615f14cfca30a8178b3bc3ed6,0.6765810492290375,1.4031561753771802
4EchqUKQ3qAQuRNKmeIpnf,rock,The Kids Aren't Alright,The Offspring,0.766,0.943,0.523,1,-4.203,0.0337,0.00704,3.81e-05,0.0579,99.607,180160,83,,1.118426065966054,1.012900409134812
6vN77lE9LK6HP2DewaN6HZ,hip-hop,Yes Indeed,Lil Baby,0.562,0.346,0.963,5,-9.309,0.53,0.0355,0.0,0.108,119.957,142273,83,,-1.2579836186465487,0.2546892061496393
7e89621JPkKaeDSTQ3avtg,rock,Sweet Home Alabama,Lynyrd Skynyrd,0.886,0.605,0.596,7,-12.145,0.0255,0.181,0.000331,0.0863,97.798,283800,83,,-0.2270119129268433,1.4589069991260901
0TDLuuLlV54CkRRUOahJb4,children,Titanium (feat. Sia),David Guetta,0.301,0.787,0.604,0,-3.674,0.103,0.0679,0.15,0.127,126.062,245040,83,https://p.scdn.co/mp3-preview/4d3537bf2416e04dc90887c896adcd1c8da4c76e?cid=b39a670615f14cfca30a8178b3bc3ed6,0.49745469109240936,-0.7153751270813908
3bidbhpOYeV4knp8AIu8Xn,afrobeat,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,0.847,0.922,0.641,2,-4.457,0.0786,0.0291,0.0,0.0862,146.078,258342,83,https://p.scdn.co/mp3-preview/989bcb16f82e4cfcbfebdf8cf0dd91abe86c84d1?cid=b39a670615f14cfca30a8178b3bc3ed6,1.0348337655022946,1.3139548573789246
55h7vJchibLdUkxdlX3fK7,french,Treasure,Bruno Mars,0.937,0.692,0.874,5,-5.28,0.0431,0.0412,7.24e-05,0.324,116.017,178560,82,https://p.scdn.co/mp3-preview/2265c5b16b2e19f65da045df41cf2b4b8fd66ea3?cid=b39a670615f14cfca30a8178b3bc3ed6,0.11929904613730472,1.6484597998723833
2g8HN35AnVGIk7B8yMucww,road-trip,Big Poppa - 2005 Remaster,The Notorious B.I.G.,0.773,0.575,0.78,9,-7.247,0.273,0.43,0.0,0.143,84.492,252746,82,https://p.scdn.co/mp3-preview/7674508c1c15cb2a27323eba7c6ef99256a58300?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.346429485017929,1.0389174602176365
6RtPijgfPKROxEzTHNRiDp,pop,Rude,MAGIC!,0.925,0.758,0.773,1,-4.993,0.0381,0.0422,0.0,0.305,144.033,224840,82,https://p.scdn.co/mp3-preview/7cdc54190cf06e5269d8406c5a7bba71a7e04cf1?cid=b39a670615f14cfca30a8178b3bc3ed6,0.3820177047376932,1.6038591408732557
2bJvI42r8EF3wxjOuDav4r,pop,Time of Our Lives,Pitbull,0.724,0.802,0.721,1,-5.797,0.0583,0.0921,0.0,0.694,124.022,229360,82,https://p.scdn.co/mp3-preview/d508371276a297486ace8d4ff596c54ae9e65260?cid=b39a670615f14cfca30a8178b3bc3ed6,0.5571634771379522,0.8567981026378645
6FE2iI43OZnszFLuLtvvmg,pop,Classic,MKTO,0.756,0.791,0.72,1,-4.689,0.124,0.0384,0.0,0.157,102.071,175426,82,https://p.scdn.co/mp3-preview/b70bf7449452275b0ecf5714bf069e06f1565b45?cid=b39a670615f14cfca30a8178b3bc3ed6,0.5133770340378875,0.9757331933022054
0CAfXk7DXMnon4gLudAp7J,disco,Low (feat. T-Pain),Flo Rida,0.304,0.609,0.918,10,-5.64,0.0791,0.0928,0.0,0.139,128.008,231400,82,https://p.scdn.co/mp3-preview/328d15426dd8b5e128341b72d0826ff0b32d1eb4?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.21108956998136522,-0.7042249623316089
7KwZNVEaqikRSBSpyhXK2j,hip-hop,Hypnotize - 2014 Remaster,The Notorious B.I.G.,0.67,0.697,0.901,9,-3.439,0.28,0.145,0.0,0.287,93.941,229826,82,https://p.scdn.co/mp3-preview/6aa2483fe9ac2dae624a1a88952aa24bb5c2414e?cid=b39a670615f14cfca30a8178b3bc3ed6,0.13920197481915234,0.6560951371417896
1EzrEOXmMH3G43AXT1y7pA,sad,I'm Yours,Jason Mraz,0.712,0.444,0.703,11,-9.331,0.0417,0.559,0.0,0.0973,150.96,242946,82,https://p.scdn.co/mp3-preview/0952568e496914bb61383588ac417ec70abefc1d?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.8678862164823358,0.8121974436387366
1gihuPhrLraKYrJMAEONyc,chill,Feel So Close - Radio Edit,Calvin Harris,0.919,0.924,0.707,7,-2.842,0.031,0.000972,0.00703,0.204,127.937,206413,82,https://p.scdn.co/mp3-preview/b8372b1a0b8d09a5004388a654f29bef6bc37021?cid=b39a670615f14cfca30a8178b3bc3ed6,1.0427949369750336,1.5815588113736916
3XVBdLihbNbxUwZosxcGuJ,chill,If I Ain't Got You,Alicia Keys,0.166,0.444,0.609,7,-9.129,0.106,0.603,6.86e-06,0.104,118.402,228706,82,https://p.scdn.co/mp3-preview/2d1fd54c4a4147b43e1eb79c00380e36818a2546?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.8678862164823358,-1.2171325408215787
2ihCaVdNZmnHZWt0fvAM7B,disco,Little Talks,Of Monsters and Men,0.417,0.757,0.457,1,-5.177,0.032,0.0206,0.0,0.146,102.961,266600,81,,0.3780371190013237,-0.2842354234231554
3ovjw5HZZv43SxTwApooCM,hard-rock,Wind Of Change,Scorpions,0.246,0.524,0.452,0,-10.108,0.0351,0.315,0.0,0.103,151.505,312360,81,,-0.5494393575727742,-0.9197948141607266
5fVZC9GiM4e8vu99W0Xf6J,piano,How to Save a Life,The Fray,0.361,0.743,0.64,10,-4.08,0.0379,0.269,0.0,0.101,122.035,262533,81,https://p.scdn.co/mp3-preview/30d90238cdd10ea0a938ddc8ec122dabb87ac035?cid=b39a670615f14cfca30a8178b3bc3ed6,0.3223089186921504,-0.4923718320857518
0OEBOJhSObnFuHuasXdt52,spanish,Dia de Enero,Shakira,0.526,0.361,0.687,10,-11.589,0.0792,0.35,1.11e-05,0.11,165.747,173133,81,https://p.scdn.co/mp3-preview/83bcb423223de882523c1274505b43e2ef2715f4?cid=b39a670615f14cfca30a8178b3bc3ed6,-1.198274832601006,0.12088722915225573
2dLLR6qlu5UJ5gk0dKz0h3,children,Royals,Lorde,0.337,0.428,0.674,7,-9.504,0.122,0.121,0.0,0.132,84.878,190185,81,,-0.9315755882642481,-0.5815731500840073
2VOomzT6VavJOGBeySqaMc,disco,Disturbia,Rihanna,0.722,0.813,0.707,11,-4.515,0.0571,0.0863,0.0,0.168,124.921,238626,81,,0.6009499202380165,0.8493646594713431
